ID,class
Zm00001d048443,0
Zm00001d048445,0
Zm00001d048447,0
Zm00001d048448,0
Zm00001d048450,0
Zm00001d048451,0
Zm00001d048452,0
Zm00001d048453,0
Zm00001d048454,0
Zm00001d048455,0
Zm00001d048456,0
Zm00001d048458,0
Zm00001d048459,0
Zm00001d048460,0
Zm00001d048461,0
Zm00001d048463,0
Zm00001d048466,0
Zm00001d048469,0
Zm00001d048470,0
Zm00001d048472,0
Zm00001d048473,0
Zm00001d048474,1
Zm00001d048477,0
Zm00001d048478,0
Zm00001d048482,0
Zm00001d048483,0
Zm00001d048484,0
Zm00001d048486,0
Zm00001d048491,0
Zm00001d048492,0
Zm00001d048493,0
Zm00001d048494,0
Zm00001d048495,0
Zm00001d048496,0
Zm00001d048497,0
Zm00001d048499,0
Zm00001d048501,0
Zm00001d048502,0
Zm00001d048505,0
Zm00001d048506,0
Zm00001d048507,0
Zm00001d048510,0
