ID,class
Zm00001d034047,1
Zm00001d034048,0
Zm00001d034050,0
Zm00001d034051,0
Zm00001d034052,0
Zm00001d034054,0
Zm00001d034055,0
Zm00001d034057,0
Zm00001d034058,0
Zm00001d034059,0
Zm00001d034061,0
Zm00001d034062,0
Zm00001d034066,0
Zm00001d034067,0
Zm00001d034068,0
Zm00001d034069,0
Zm00001d034070,0
Zm00001d034071,0
Zm00001d034072,0
Zm00001d034073,0
Zm00001d034074,0
Zm00001d034076,0
Zm00001d034078,0
Zm00001d034080,0
Zm00001d034081,0
Zm00001d034082,0
Zm00001d034084,0
Zm00001d034087,0
Zm00001d034088,0
Zm00001d034091,0
Zm00001d034093,0
Zm00001d034099,0
Zm00001d034105,0
Zm00001d034106,0
Zm00001d034108,0
Zm00001d034109,0
Zm00001d034110,0
Zm00001d034111,0
Zm00001d034112,0
Zm00001d034116,0
Zm00001d034118,0
Zm00001d034124,0
Zm00001d034125,0
Zm00001d034128,0
Zm00001d034129,0
Zm00001d034137,0
Zm00001d034139,0
Zm00001d034148,0
Zm00001d034150,0
Zm00001d034152,0
Zm00001d034153,0
Zm00001d034155,0
Zm00001d034157,0
Zm00001d034159,0
Zm00001d034160,0
Zm00001d034161,0
Zm00001d034163,0
Zm00001d034164,0
Zm00001d034165,0
Zm00001d034166,0
Zm00001d034167,0
Zm00001d034169,0
Zm00001d034170,0
Zm00001d034173,0
Zm00001d034174,0
Zm00001d034178,0
Zm00001d034181,0
Zm00001d034183,0
Zm00001d034184,0
Zm00001d034186,0
Zm00001d034188,0
Zm00001d034192,0
Zm00001d034195,0
Zm00001d034196,0
Zm00001d034199,0
Zm00001d034200,0
Zm00001d034201,0
Zm00001d034203,0
Zm00001d034204,0
Zm00001d034205,0
Zm00001d034206,0
Zm00001d034207,0
Zm00001d034208,0
Zm00001d034213,0
Zm00001d034214,0
Zm00001d034215,0
Zm00001d034216,0
Zm00001d034218,0
Zm00001d034223,0
Zm00001d034224,0
Zm00001d034225,0
Zm00001d034230,0
Zm00001d034231,0
Zm00001d034234,0
Zm00001d034237,0
Zm00001d034239,0
Zm00001d034240,0
Zm00001d034241,0
Zm00001d034242,0
Zm00001d034244,0
Zm00001d034245,0
Zm00001d034246,0
Zm00001d034247,0
Zm00001d034249,0
Zm00001d034250,0
Zm00001d034251,0
Zm00001d034252,0
Zm00001d034253,0
Zm00001d034256,0
Zm00001d034259,0
Zm00001d034260,0
Zm00001d034262,0
Zm00001d034263,0
Zm00001d034264,0
Zm00001d034270,0
Zm00001d034272,0
Zm00001d034273,0
Zm00001d034274,0
Zm00001d034276,0
Zm00001d034277,0
Zm00001d034279,0
Zm00001d034282,0
Zm00001d034283,0
Zm00001d034286,0
Zm00001d034292,0
Zm00001d034293,0
Zm00001d034298,0
Zm00001d034299,0
Zm00001d034301,0
Zm00001d034313,0
Zm00001d034314,0
Zm00001d034316,0
Zm00001d034317,0
Zm00001d034318,0
Zm00001d034319,0
Zm00001d034320,0
Zm00001d034321,0
Zm00001d034326,0
Zm00001d034337,0
Zm00001d034339,0
Zm00001d034341,0
Zm00001d034342,0
Zm00001d034343,0
Zm00001d034345,0
Zm00001d034356,0
Zm00001d034357,0
Zm00001d034358,0
Zm00001d034360,0
Zm00001d034361,0
Zm00001d034364,0
Zm00001d034365,0
Zm00001d034366,0
Zm00001d034368,0
Zm00001d034369,0
Zm00001d034370,0
Zm00001d034371,0
Zm00001d034372,0
Zm00001d034376,0
Zm00001d034379,0
Zm00001d034382,0
Zm00001d034383,0
Zm00001d034384,0
Zm00001d034385,0
Zm00001d034387,0
Zm00001d034388,0
Zm00001d034393,0
Zm00001d034396,0
Zm00001d034399,0
Zm00001d034400,0
Zm00001d034402,0
Zm00001d034404,0
Zm00001d034405,0
Zm00001d034406,0
Zm00001d034408,0
Zm00001d034409,0
Zm00001d034410,0
Zm00001d034411,0
Zm00001d034412,0
Zm00001d034414,0
Zm00001d034420,0
Zm00001d034421,0
Zm00001d034422,0
Zm00001d034423,0
Zm00001d034427,0
Zm00001d034428,0
Zm00001d034433,0
Zm00001d034434,0
Zm00001d034437,0
Zm00001d034438,0
Zm00001d034440,0
Zm00001d034443,0
Zm00001d034445,0
Zm00001d034447,0
Zm00001d034452,0
Zm00001d034453,0
Zm00001d034455,0
Zm00001d034457,0
Zm00001d034460,0
Zm00001d034461,0
Zm00001d034463,0
Zm00001d034467,0
Zm00001d034468,0
Zm00001d034469,0
Zm00001d034471,0
Zm00001d034473,0
Zm00001d034479,0
Zm00001d034480,0
Zm00001d034485,0
Zm00001d034486,0
Zm00001d034487,0
Zm00001d034488,0
Zm00001d034489,0
Zm00001d034490,0
Zm00001d034491,0
Zm00001d034492,0
Zm00001d034496,0
Zm00001d034500,0
Zm00001d034501,0
Zm00001d034503,0
Zm00001d034505,0
Zm00001d034508,0
Zm00001d034509,0
Zm00001d034510,0
Zm00001d034511,0
Zm00001d034516,0
Zm00001d034517,0
Zm00001d034519,0
Zm00001d034520,0
Zm00001d034521,0
Zm00001d034522,0
Zm00001d034523,0
Zm00001d034524,0
Zm00001d034525,0
Zm00001d034527,0
Zm00001d034528,0
Zm00001d034530,0
Zm00001d034531,0
Zm00001d034532,0
Zm00001d034536,0
Zm00001d034537,0
Zm00001d034543,0
