ID,class
Zm00001d039309,0
Zm00001d039312,0
Zm00001d039313,0
Zm00001d039315,0
Zm00001d039316,0
Zm00001d039317,0
Zm00001d039319,0
Zm00001d039323,0
Zm00001d039324,0
Zm00001d039328,0
Zm00001d039330,0
Zm00001d039336,0
Zm00001d039338,0
Zm00001d039341,0
Zm00001d039345,0
Zm00001d039346,0
Zm00001d039347,0
Zm00001d039348,0
Zm00001d039349,0
Zm00001d039350,0
Zm00001d039352,0
Zm00001d039354,0
Zm00001d039355,0
Zm00001d039357,0
Zm00001d039358,0
Zm00001d039361,0
Zm00001d039362,0
Zm00001d039363,0
Zm00001d039364,0
Zm00001d039365,0
Zm00001d039366,0
Zm00001d039369,0
Zm00001d039372,0
Zm00001d039373,0
Zm00001d039374,0
Zm00001d039375,0
Zm00001d039377,0
Zm00001d039380,0
Zm00001d039383,0
Zm00001d039384,0
Zm00001d039385,0
Zm00001d039386,0
Zm00001d039392,0
Zm00001d039393,0
Zm00001d039394,0
Zm00001d039395,0
Zm00001d039396,0
Zm00001d039400,0
Zm00001d039401,0
Zm00001d039403,0
Zm00001d039404,0
Zm00001d039405,0
Zm00001d039407,0
Zm00001d039408,0
Zm00001d039409,0
Zm00001d039411,0
Zm00001d039415,0
Zm00001d039416,0
Zm00001d039417,0
Zm00001d039422,0
Zm00001d039424,0
Zm00001d039425,0
Zm00001d039426,0
Zm00001d039427,0
Zm00001d039430,0
Zm00001d039432,0
Zm00001d039434,0
Zm00001d039437,0
Zm00001d039439,0
Zm00001d039440,0
Zm00001d039441,0
Zm00001d039444,0
Zm00001d039446,0
Zm00001d039448,0
Zm00001d039449,0
Zm00001d039450,0
Zm00001d039451,0
Zm00001d039452,0
Zm00001d039453,0
Zm00001d039454,0
Zm00001d039455,0
Zm00001d039456,0
Zm00001d039458,0
Zm00001d039459,0
Zm00001d039465,0
Zm00001d039466,0
Zm00001d039467,0
Zm00001d039468,0
Zm00001d039469,0
Zm00001d039471,0
Zm00001d039474,0
Zm00001d039477,0
Zm00001d039482,0
Zm00001d039483,0
Zm00001d039484,0
Zm00001d039487,0
Zm00001d039488,0
Zm00001d039491,0
Zm00001d039492,0
Zm00001d039493,0
Zm00001d039494,0
Zm00001d039495,0
Zm00001d039496,0
Zm00001d039497,0
Zm00001d039498,0
Zm00001d039499,0
Zm00001d039500,0
Zm00001d039502,0
Zm00001d039503,0
Zm00001d039504,0
Zm00001d039505,0
Zm00001d039507,0
Zm00001d039510,0
Zm00001d039512,0
Zm00001d039513,0
Zm00001d039518,0
Zm00001d039519,0
Zm00001d039520,0
Zm00001d039521,0
Zm00001d039526,0
Zm00001d039528,0
Zm00001d039529,0
Zm00001d039530,0
Zm00001d039531,0
Zm00001d039532,0
Zm00001d039534,0
Zm00001d039535,0
Zm00001d039536,0
Zm00001d039541,0
Zm00001d039542,0
Zm00001d039544,0
Zm00001d039546,0
Zm00001d039547,0
Zm00001d039548,0
Zm00001d039550,0
Zm00001d039551,0
Zm00001d039554,0
Zm00001d039555,0
Zm00001d039557,0
Zm00001d039558,0
Zm00001d039559,0
Zm00001d039563,0
Zm00001d039564,0
Zm00001d039566,0
Zm00001d039567,0
Zm00001d039568,0
Zm00001d039575,0
Zm00001d039578,0
Zm00001d039579,0
Zm00001d039580,0
Zm00001d039581,0
Zm00001d039582,0
Zm00001d039584,0
Zm00001d039589,0
Zm00001d039590,0
Zm00001d039592,0
Zm00001d039593,0
Zm00001d039594,0
Zm00001d039596,0
Zm00001d039598,0
Zm00001d039600,0
Zm00001d039601,0
Zm00001d039608,0
Zm00001d039611,0
Zm00001d039614,0
Zm00001d039615,0
Zm00001d039617,0
Zm00001d039619,0
Zm00001d039620,0
Zm00001d039623,0
Zm00001d039624,0
Zm00001d039625,0
Zm00001d039628,0
Zm00001d039629,0
Zm00001d039631,0
Zm00001d039632,0
Zm00001d039633,0
Zm00001d039634,1
Zm00001d039635,0
Zm00001d039636,0
Zm00001d039637,0
Zm00001d039639,0
Zm00001d039640,0
Zm00001d039641,0
Zm00001d039642,0
Zm00001d039643,0
Zm00001d039644,0
Zm00001d039647,0
Zm00001d039649,0
Zm00001d039650,0
Zm00001d039653,0
Zm00001d039654,0
Zm00001d039655,0
Zm00001d039656,0
Zm00001d039658,0
Zm00001d039659,0
Zm00001d039660,0
Zm00001d039661,0
Zm00001d039664,0
Zm00001d039668,0
Zm00001d039669,0
Zm00001d039670,0
Zm00001d039673,0
Zm00001d039674,0
Zm00001d039675,0
